original_email_address,mail_provider,provider_domain_type,username_length,num_of_textual_tokens,first_name,first_name_length,has_dot,has_underscore,has_dash,has_capital_letters,number_numeric_tokens,numeric_token,length_of_numeric_token,possible_age,label
Elody_OConner51@gmail.com,gmail,com,15,2,elody,5,0,1,0,1,1,51,2,73,old
lily.long85@yahoo.com,yahoo,com,11,2,lily,4,1,0,0,0,1,85,2,39,medium
benjamin.phillips@hotmail.com,hotmail,com,17,2,benjamin,8,1,0,0,0,0,-1,0,-1,unsure
robert.walker@aol.com,aol,com,13,2,robert,6,1,0,0,0,0,-1,0,-1,unsure
samantha_turner1987@gmail.com,gmail,com,19,2,samantha,8,0,1,0,0,1,1987,4,37,medium
matthew7843@icloud.com,icloud,com,11,1,matthew,7,0,0,0,0,1,7843,4,-1,unsure
Jerrod_Considine79@yahoo.com,yahoo,com,18,2,jerrod,6,0,1,0,1,1,79,2,45,medium
Beverly_Renner@outlook.com,outlook,com,14,2,beverly,7,0,1,0,1,0,-1,0,-1,unsure
smith.kelly1996@aol.com,aol,com,15,2,smith,5,1,0,0,0,1,1996,4,28,young
michael.kane1986@hotmail.com,hotmail,com,16,2,michael,7,1,0,0,0,1,1986,4,38,medium
Dock_King@yahoo.com,yahoo,com,9,2,dock,4,0,1,0,1,0,-1,0,-1,unsure
Elmo_Weissnat@mail.com,mail,com,13,2,elmo,4,0,1,0,1,0,-1,0,-1,unsure
Nils_Pacocha24@tutanota.com,tutanota,com,14,2,nils,4,0,1,0,1,1,24,2,100,old
claire_harris9987@outlook.com,outlook,com,17,2,claire,6,0,1,0,0,1,9987,4,-1,unsure
Maiya.Huel47@aol.com,aol,com,12,2,maiya,5,1,0,0,1,1,47,2,77,old
zoe1983_barnes@aol.com,aol,com,14,2,zoe,3,0,1,0,0,1,1983,4,41,medium
Jaclyn.Littel@aol.com,aol,com,13,2,jaclyn,6,1,0,0,1,0,-1,0,-1,unsure
mary.green@yahoo.com,yahoo,com,10,2,mary,4,1,0,0,0,0,-1,0,-1,unsure
mandy.04@gmail.com,gmail,com,8,1,mandy,5,1,0,0,0,1,4,2,20,young
jessica.evans04@gmail.com,gmail,com,15,2,jessica,7,1,0,0,0,1,4,2,20,young
nathan.james95@outlook.com,outlook,com,14,2,nathan,6,1,0,0,0,1,95,2,29,young
Raina.OHara70@outlook.com,outlook,com,13,2,raina,5,1,0,0,1,1,70,2,54,old
luke_barnes2006@gmail.com,gmail,com,15,2,luke,4,0,1,0,0,1,2006,4,18,young
matthew.roberts@protonmail.com,protonmail,com,15,2,matthew,7,1,0,0,0,0,-1,0,-1,unsure
susan.brown@gmail.com,gmail,com,11,2,susan,5,1,0,0,0,0,-1,0,-1,unsure
natalie9872_smith@yahoo.com,yahoo,com,17,2,natalie,7,0,1,0,0,1,9872,4,-1,unsure
peter.ward@gmail.com,gmail,com,10,2,peter,5,1,0,0,0,0,-1,0,-1,unsure
rebecca.thomas@hotmail.com,hotmail,com,14,2,rebecca,7,1,0,0,0,0,-1,0,-1,unsure
carter85_burn@hotmail.com,hotmail,com,13,2,carter,6,0,1,0,0,1,85,2,39,medium
amanda78_flash@hotmail.com,hotmail,com,14,2,amanda,6,0,1,0,0,1,78,2,46,medium
Ernie88@icloud.com,icloud,com,7,1,ernie,5,0,0,0,1,1,88,2,36,medium
Kennedy.Schmidt59@gmail.com,gmail,com,17,2,kennedy,7,1,0,0,1,1,59,2,65,old
james1980_clark@gmail.com,gmail,com,15,2,james,5,0,1,0,0,1,1980,4,44,medium
Morris_Vandervort@gmail.com,gmail,com,17,2,morris,6,0,1,0,1,0,-1,0,-1,unsure
Ayden28@yahoo.com,yahoo,com,7,1,ayden,5,0,0,0,1,1,28,2,96,old
zoe_richards1995@gmail.com,gmail,com,16,2,zoe,3,0,1,0,0,1,1995,4,29,young
hailey1998_turner@gmail.com,gmail,com,17,2,hailey,6,0,1,0,0,1,1998,4,26,young
anna.harris@icloud.com,icloud,com,11,2,anna,4,1,0,0,0,0,-1,0,-1,unsure
david.roberts81@gmail.com,gmail,com,15,2,david,5,1,0,0,0,1,81,2,43,medium
Jose_Hayes62@mail.com,mail,com,12,2,jose,4,0,1,0,1,1,62,2,62,old
victoria_carter1984@yahoo.com,yahoo,com,19,2,victoria,8,0,1,0,0,1,1984,4,40,medium
robert.mitchell@gmail.com,gmail,com,15,2,robert,6,1,0,0,0,0,-1,0,-1,unsure
eliza.brooks1702@gmail.com,gmail,com,16,2,eliza,5,1,0,0,0,1,1702,4,-1,unsure
emily.wood1696@gmail.com,gmail,com,14,2,emily,5,1,0,0,0,1,1696,4,-1,unsure
alexis43_flare@gmail.com,gmail,com,14,2,alexis,6,0,1,0,0,1,43,2,81,old
Roel37@yahoo.com,yahoo,com,6,1,roel,4,0,0,0,1,1,37,2,87,old
david66_glow@hotmail.com,hotmail,com,12,2,david,5,0,1,0,0,1,66,2,58,old
madeline1986_ross@aol.com,aol,com,17,2,madeline,8,0,1,0,0,1,1986,4,38,medium
samantha1996_green@icloud.com,icloud,com,18,2,samantha,8,0,1,0,0,1,1996,4,28,young
madison1991_bell@outlook.com,outlook,com,16,2,madison,7,0,1,0,0,1,1991,4,33,medium
john.morris@gmail.com,gmail,com,11,2,john,4,1,0,0,0,0,-1,0,-1,unsure
